lkd-id,version,changeNote,editorialNote (ei julkaista)
bffi:country,v0.5.0,,pushed back to a later version with place -issues
bffi:credits,v0.6.0,,2024-04-18 Huomautus. Osallinen esittäjä/toimija poimitaan manifestaatiosta. Kuten vastuullisuusmerkintä. 
bffi:creditsPerformer,v0.6.0,,2024.04.18 New
bffi:creditsProduction,v0.6.0,,2024.04.18 New
bffi:custodialHistory,v0.5.0,,"2024-03-28 changed domain from [ bffi:Work ,bffi:Expression , bffi:Manifestation, bffi:Item ] to bffi:Item"
bffi:Dataset,v0.6.0,Changed BIBFRAME mapping from bffi-meta:broadMatch to owl:equivalentClass bf:Dataset,2024-04-18 Change
bffi:dataSource,v0.6.0,,seeAlso added
bffi:dataSource,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,
bffi:date,v0.6.0,"Changed Finnish label from ""aika"" to ""ajankohta""","2024-05-08 Changed label from ""aika"" to ""ajankohta""."
bffi:dateOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:content
bffi:derivedFrom,v0.6.0,"Changed Finnish label from ""metadatan lähde"" to ""lähdemetatieto""; removed RDA mapping","2024-06-05 Changed label from  ""metadatan lähde"" to ""lähdemetadata"""
bffi:DescriptionLevel,v0.8.0,"Changed Finnish label from ""Kuvailutaso"" to ""Kuvailun tietomalli""",
bffi:descriptionLevel,v0.8.0,"Changed Finnish label from ""kuvailutaso"" to ""kuvailun tietomalli""",
bffi:descriptionScript,v0.8.0,Deprecated. Can be represented with bffi:language,
bffi:digitalCharacteristic,v0.8.0,"Changed Finnish label from ""digitaalisen tiedoston ominaisuus"" to ""digitaalisen tiedoston ominaisuudet""",2024-10-10 vaihdettu ominasuus -> ominaisuudet
bffi:Dissertation,v0.8.0,"Changed Finnish label from ""Tieto väitöskirjasta"" to ""Tieto väitöskirjasta tai muusta opinnäytteestä""",2024-10-30 laajennettiin käsitettää kaikkiin opinnäytteisiin
bffi:dissertation,v0.8.0,"Changed Finnish label from ""tieto väitöskirjasta"" to ""tieto väitöskirjasta tai muusta opinnäytteestä""",2024-10-30 laajennettiin käsitettää kaikkiin opinnäytteisiin
bffi:Distribution,v0.8.0,"Changed Finnish label from ""Jakaja"" to ""Jakelija""",2024-10-03 kuukausityöpaja (korjattu näin myös RDA ja MARC)
bffi:duration,v0.8.0,Changed BIBFRAME mapping from owl:equivalentProperty to rdfs:subPropertyOf bf:duration,2024-11-18
bffi:durationOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:duration
bffi:edition,v0.8.0,"Changed Finnish label from ""painoksen tyyppi"" to ""luokituksen painos""",2024-10-09 korjattiin termi paremmin sisältöä kuvaavaksi
bffi:editionStatement,v0.8.0,"Changed Finnish label from ""painosmäärite"" to ""painosmerkintö""; changed RDA mapping from bffi-meta:exactMatch rdam:P30133 to bffi:narrowMatch [rdam:P30121|rdam:P30115|rdam:P30118|rdam:P30112]",2024-10-03 kuukausityöpaja. korjattiin RDA-mappaus ja termit.
bffi:editionStatementOfRevision,v0.8.0,Deprecated,
bffi:EncodingLevel,v0.6.0,,2024-05-08 Deleted.
bffi:encodingLevel,v0.6.0,,2024-05-08 Deleted.
bffi:expressionIdentifiedBy,v0.8.0,Deprecated,2024-11-18 LKD viikkokokous
bffi:expressionManifested,v0.6.0,Changed BIBFRAME mapping bffi-meta:broadMatch from bf:hasInstance to bf:instanceOf,
bffi:extensionPlan,v0.6.0,Changed range from bffi:Issuance to bffi:ExtensionPlan,2024-05-06 Change
bffi:ExtensionPlan,v0.6.0,Removed subClassOf bffi:Issuance ,2024-05-06 Change
bffi:extensionPlan,v0.7.0,Removed subPropertyOf bffi:issuance; broadMatch bf:issuance,2024-09-11
bffi:extentOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:extent
bffi:findingAid,v0.5.0,,"2024-03-28 changed domain from [ bffi:Expression , bffi:Manifestation ]  to bffi:CollectionManifestation; changed range from [ bffi:Expression , bffi:Manifestation ]  to bffi:CollectionWork"
bffi:findingAid,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:findingAidOf,v0.5.0,,"2024-03-28: changed domain from [ bffi:Expression , bffi:Manifestation ]  to bffi:CollectionWork; changed range from [ bffi:Expression , bffi:Manifestation ]  to bffi:CollectionManifestation"
bffi:findingAidOf,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:firstIssueChronology,v0.5.0,Changed type to ObjectProperty; Changed BIBFRAME mapping to bffi-meta:closeMatch bf:firstIssue,
bffi:firstIssueChronology,v0.6.0,,2024-04-04 Changed
bffi:firstIssueEnumeration,v0.5.0,Changed type to ObjectProperty; Changed BIBFRAME mapping to bffi-meta:closeMatch bf:firstIssue,
bffi:firstIssueEnumeration,v0.6.0,,2024-04-04 Changed
bffi:GenerationProcess,v0.6.0,,
bffi:generationProcess,v0.6.0,,
bffi:Geographic,v0.5.0,,pushed back to a later version with place -issues
bffi:GeographicCoverage,v0.5.0,,pushed back to a later version with place -issues
bffi:geographicCoverage,v0.5.0,,pushed back to a later version with place -issues
bffi:geographicLocation,v0.5.0,,pushed back to a later version with place -issues
bffi:GeographicSubdivision,v0.5.0,,pushed back to a later version with place -issues
bffi:grantingInstitution,v0.8.0,"Changed domain from [bffi:Dissertation, bffi:Degree] to bffi:Dissertation",2024-10-30  tarkennettiin domain määrittely
bffi:hasEquivalent,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:hasExpression,v0.8.0,Changed mapping from owl:equivalentProperty to bffi-meta:closeMatch bf:hasExpression,2024-10-16 kuukausityöpaja - relationship-issuen käsittelyssä
bffi:hasPart,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:hasReproduction,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:holding,v0.5.0,,2024-03-28 changed range from bffi:CollectionItem to bffi:Item
bffi:holdingOf,v0.5.0,,2024-03-28 changed domain  from bffi:CollectionItem to bffi:Item
bffi:identifiedBy,v0.8.0,Changed RDA mapping from bffi-meta:exactMatch to several bffi-meta:narrowMatch,2024-11-18 LKD-viikkokokous
bffi:ImmediateAcquisition,v0.6.0,,2024-05-08 removed RDA mapping to wrong value vocabulary; added seeAlso to mts:m110
bffi:index,v0.5.0,,"2024-03-28 changed domain from [ bffi:Expression, bffi:Manifestation ] to bffi:CollectionManifestation; ; changed range from [ bffi:Expression, bffi:Manifestation ] to bffi:CollectionWork"
bffi:index,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:indexedIn,v0.5.0,,pushed back to a later version. does not deal with catalogs
bffi:indexOf,v0.5.0,,"2024-03-28 changed domain from [ bffi:Expression, bffi:Manifestation ] to bffi:CollectionWork ; changed range from [ bffi:Expression, bffi:Manifestation ] to bffi:CollectionManifestation"
bffi:indexOf,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:intendedAudienceOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:intendedAudience
bffi:issuance,v0.7.0,Removed subClassOf bf:issuance. Added BIBFRAME mapping bffi-meta:broadMatch bf:issuance,2024-09-11 removed subClassOf. Both bffi:Issuance and bffi:extensionPlan are broadMatches with bfi:issuance
bffi:issue,v0.6.0,,2024-06-04 New
bffi:itemIdentifiedBy,v0.8.0,Deprecated,
bffi:label,v0.8.0,Deprecated,
bffi:languageOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:language
bffi:lastIssueChronology,v0.5.0,Changed type to ObjectProperty; Changed BIBFRAME mapping to bffi-meta:closeMatch bf:lastIssue,
bffi:lastIssueChronology,v0.6.0,Changed BIBFRAME mapping to bffi-meta:broadMatch bf:enumerationAndChronology,2024-05-07 Changed
bffi:lastIssueEnumeration,v0.5.0,Changed type to ObjectProperty; Changed BIBFRAME mapping to bffi-meta:closeMatch bf:lastIssue,
bffi:lastIssueEnumeration,v0.6.0,Changed BIBFRAME mapping to bffi-meta:broadMatch bf:enumerationAndChronology,2024-05-07 Changed
bffi:latitude,v0.5.0,Deprecated,"2024-03-27 replaced by bffi:coordinates, deprecated in version 0.5"
bffi:longitude,v0.5.0,Deprecated,"2024-03-27 Replaced by bffi:coordinates, deprecated in version 0.5"
bffi:manifestationIdentifiedBy,v0.8.0,Deprecated,2024-11-18 LKD viikkokokous
bffi:manufactureStatement,v0.7.0,Changed mapping to bf:manufactureStatement; removed subPropertyOf  bf:provisionActivityStatement,
bffi:mediumOfChoreographicContentOfRepresentativeExpression,v0.6.0,,2024-06-11 removed subPropertyOf bffi:ensemble.
bffi:MetadataLicensor,v0.6.0,,"2024-06-13  Finnish term changed to ""Metatiedon tekijänoikeus"""
bffi:metadataLicensor,v0.6.0,,"2024-06-13  Finnish term changed to ""metatiedon tekijänoikeus"""
bffi:MusicAudioWork,v0.8.0,Deprecated. Replaced by a broader class bffi:MusicWork which also incorporates notated music works,
bffi:MusicAudioExpression,v0.8.0,Changed subClassOf from bffi:AudioExpression to bffi:Expression,
bffi:musicKey,v0.8.0,Changed domain by removing bffi:Work and adding bffi:MusicAudioWork,
bffi:musicMedium,v0.8.0,Changed BIBFRAME mapping from owl:equivalentProperty to rdfs:subPropertyOf bf:musicMedium,2024-11-18 vaihdettu yläominaisuus
bffi:NonMusicAudioExpression,v0.8.0,Changed subClassOf from bffi:AudioExpression to bffi:Expression,
bffi:NonMusicAudioWork,v0.8.0,Changed subClassOf from bffi:AudioWork to bffi:Work,
bffi:NotatedMovement,v0.8.0,"Changed Finnish label from ""Liikenotaation tyyppi"" to ""Liikenotaatio""",2024-10-29 kk työpaja korjattiin väärä termi
bffi:NotatedMusic,v0.8.0,"Changed Finnish label from ""Nuottiaineiston muoto"" to ""Musiikkinotaatio""",2024-10-29 kk työpaja korjattiin väärä termi
bffi:note,v0.6.0,"Changed domain from [bffi:AdminMetadata, bffi:Title] to rdfs:Resource",2024-05-08 Changed
bffi:ordinal,v0.8.0,Deprecated,2024-11-18 Primary contributor can be represented with bffi:PrimaryContribution
bffi:partOf,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:pattern,v0.5.0,,"2024-02-27  changed domain from [ bffi:Item , bffi:CollectionArrangement ]  to bffi:CollectionArrangement"
bffi:precededBy,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:projection,v0.5.0,Deprecated,"2023-03-27 (replaced by bffi:cartographicProjection, deprecated in version 0.5)"
bffi:ProjectionCharacteristic,v0.5.0,,pushed back to a later version with AV -issues
bffi:projectionCharacteristic,v0.5.0,,pushed back to a later version with AV -issues
bffi:recordingSource,v0.5.0,Changed domain from bffi:Work to bffi:AdminMetadata. Removed subClassOf bffi:Source ,
bffi:recordingSource,v0.6.0,Removed subPropertyOf bffi:derivedFrom,
bffi:ReferenceSource,v0.6.0,,2024-05-08 New
bffi:ReferenceSource,v0.6.0,,"2024-06-05 Deleted. Liittyy Nomeniin ja toimijakuvailuun, ei mukaan tietomalliin."
bffi:referenceSource,v0.6.0,,2024-05-08 Changed range from bffi:Source to bffi:ReferenceSource
bffi:referenceSource,v0.6.0,,"2024-06-05 Deleted. Liittyy Nomeniin ja toimijakuvailuun, ei mukaan tietomalliin."
bffi:relatedTo,v0.8.0,Changed RDA mapping to rdax:P00001,2024-11-20  työkokous
bffi:relation,v0.8.0,Changed range from bf:Relation to bffi:Relation,2024-10-15 changed range from bf to bffi
bffi:Relief,v0.5.0,,2024-03-27  rdfs:seeAlso <http://id.loc.gov/vocabulary/mrelief>
bffi:relief,v0.5.0,,2024-03-27: changed domain from bffi:CartographyExpression  to bffi:Cartograpic (as in BIBFRAME examples)
bffi:reproductionOf,v0.8.0,Deprecated. Replaced by the indirect bffi:relation structure,2024-10-21 replaced by values of bffi:Relationship in the Metadata Thesaurus
bffi:ScaleDesignation,v0.5.0,,2024-03-27: added bffi-meta:relatedValueVocabulary mts:m4396; rdfs:seeAlso <http://rdaregistry.info/termList/scale/> (rdasca:)
bffi:scaleDesignation,v0.5.0,,2024-03-27: changed rdfs:domain to bffi:Scale; changed type to owl:ObjectType because range is bffi:ScaleDesignation
bffi:scaleOfRepresentativeExpression,v0.5.0,,2024-02-27: changed rdfs:domain from bffi:Work to bffi:Cartographic
bffi:scaleOfRepresentativeExpression,v0.6.0,,2024-06-11 changed BIBFRAME mapping bffi-meta:broadMatch to bffi-meta:closeMatch; removed subPropertyOf bffi:scale
bffi:scaleOfStillImageOrThreeDimensionalForm ,v0.5.0,,New property mapped with rdae:P20227
